timestamp,token
256100,0
256235,0
256410,0
256526,1
257034,0
257130,0
257231,0
257343,0
257445,0
257602,0
257771,0
257877,0
258008,0
258158,1
258308,0
258445,0
258542,0
258695,0
258861,0
258947,1
259345,0
259447,0
259570,0
259651,1
260277,0
260473,0
260672,0
260953,0
261093,0
261193,0
261320,0
261621,3
262113,2
262814,0
263529,0
263686,0
263869,1
264436,0
265007,0
265389,0
265635,0
265856,0
266075,0
266203,0
266419,0
266546,0
266641,0
266831,0
266925,1
267662,0
267778,0
269465,0
270168,0
270388,0
270629,0
270882,0
271041,0
271948,3
272525,1
273164,0
273367,0
273589,0
273775,0
273868,1
274394,0
274491,0
275813,0
276024,0
276154,0
276315,0
276412,0
276577,0
276627,0
276777,1
277405,0
277595,0
277754,0
277870,0
277976,1
278068,0
278248,0
278413,0
278478,0
279340,0
279706,1
279894,0
280233,1
280888,0
281382,0
282418,0
282909,0
283161,0
283317,0
283410,0
283697,1
283958,0
284176,0
284341,0
284415,0
284541,0
284704,0
285113,3
285835,2
287281,0
287926,0
288026,0
288148,0
288243,1
288957,0
289145,0
289195,0
289352,0
289526,0
289653,0
289828,1
290022,0
290230,0
290801,0
291009,0
291157,0
291318,0
291414,1
291807,0
291912,0
292064,0
292229,0
292332,0
292563,0
292730,0
292877,0
293070,0
293216,0
293386,1
293979,0
294142,0
294242,0
294389,0
294453,0
294640,0
294717,1
295063,0
295127,0
295254,0
295360,0
296304,0
296818,1
297259,0
298437,0
299655,0
299763,0
299897,0
300321,3
300736,0
300906,0
301003,0
301181,0
301317,0
301511,1
301894,0
302056,1
302831,0
303898,0
304027,0
304401,1
305086,0
305261,0
305459,0
305554,0
306144,3
306964,2
308613,0
309489,0
309586,0
309778,0
310430,0
310544,0
311124,0
311272,0
312092,0
312908,3
313073,1
313579,0
313640,0
313795,0
314018,1
314198,0
314291,0
314497,1
315205,0
315873,0
316235,0
316418,0
316496,1
316747,0
316844,0
316995,0
317115,0
317515,0
317683,0
317779,1
318068,0
318197,0
318419,0
318559,0
318637,0
318826,1
319086,0
319177,0
319287,0
319406,0
319535,0
319683,0
319782,0
319996,0
320104,0
320242,0
320403,1
320675,0
320783,0
320980,0
321095,0
321223,1
321692,0
321844,0
322022,0
322476,0
322639,0
322767,0
323028,0
323083,0
323241,0
323305,0
323412,1
323716,0
323904,0
323957,0
324134,0
324295,0
324466,0
324582,0
324735,3
324994,2
326658,0
327204,0
327380,0
327694,0
327928,0
328072,0
328222,0
328486,0
328581,1
328997,0
329172,0
329296,0
329806,0
329987,0
330156,0
330317,0
330411,1
330687,0
330830,0
330953,0
331032,0
331190,0
331359,1
331508,0
331851,0
331967,0
332543,0
332721,0
332847,0
332956,0
333282,1
333641,0
333848,0
334011,0
334128,0
334246,0
334379,0
335048,3
335209,1
335646,0
335742,1
336132,0
336220,0
336917,0
337548,0
340878,0
342456,1
342807,0
343268,0
343424,0
343600,0
343771,0
343888,0
343993,0
344159,1
344301,0
344428,0
344590,0
344684,1
344880,0
345456,0
345643,0
345769,0
346175,0
346358,0
346679,0
346968,3
347444,2
348970,0
349200,0
349307,1
349550,0
349669,0
349905,0
350054,0
350158,0
350314,0
350491,0
350581,1
350803,0
350980,0
351272,0
351493,0
352327,0
352541,1
352986,0
353062,0
353177,0
353794,0
353894,0
354061,0
354255,1
354401,0
354498,0
354726,0
354911,0
355033,0
355182,0
355344,0
355492,0
355574,0
356386,3
356525,1
357412,0
357556,0
357981,0
358314,0
358766,0
358944,0
359682,0
359813,0
360264,0
360392,1
360847,0
360962,0
361226,0
361336,0
361533,0
361629,1
361757,0
361862,1
362267,0
362392,0
363250,0
363368,0
363470,0
363669,0
363746,1
364481,0
364571,0
364659,0
364784,0
364896,0
365044,3
365460,2
366911,0
367426,0
367651,0
368127,0
368267,0
368420,0
368547,0
368690,0
368844,1
369024,0
369151,0
369252,1
369350,0
369535,0
369609,0
369737,0
369859,1
370399,0
370532,0
370631,0
370848,0
370943,0
371052,0
371156,0
372109,3
372756,1
373319,0
373491,0
373594,0
373699,0
373787,0
373964,0
374118,1
374292,0
374400,0
374479,1
374630,0
374720,0
374796,1
375037,0
375134,0
375947,0
376187,1
376430,0
376593,0
376670,0
376848,0
377050,1
377722,0
377822,0
377975,0
378110,0
378300,0
378493,0
379917,0
380078,0
380270,1
380517,0
380805,1
381507,0
381669,0
382113,0
382260,0
382389,0
382558,0
385690,3
386330,2
388019,0
389222,0
389575,0
389716,0
389947,0
390169,1
390596,0
390716,0
390823,1
390966,0
391058,0
391149,1
391348,0
391468,0
391601,0
391842,0
392020,0
392162,0
392285,0
392466,0
392614,0
392811,0
392905,0
393088,0
393170,0
393506,0
393691,1
393926,0
394091,0
395173,0
395287,0
395499,1
395820,0
395971,0
396095,0
396394,0
396565,0
396644,0
397591,3
397734,1
398229,0
398310,0
398419,0
398639,0
398810,0
399005,1
399550,0
399759,0
399893,0
400141,0
400341,0
400409,0
400588,0
400689,0
400874,0
400929,1
401527,0
402087,0
402927,0
403447,0
403650,0
403817,0
403962,0
404095,0
404160,0
404337,0
405089,3
405555,2
407419,0
408043,0
408282,0
408408,0
408560,0
408742,0
408897,0
409031,0
409132,0
409281,0
409371,0
409457,1
409803,0
410074,0
410225,0
410376,0
411150,0
411250,0
411356,1
411637,0
411816,0
411919,0
412058,0
412123,0
412330,1
413759,0
414206,0
414375,0
414463,0
414732,0
414796,0
414896,0
415047,0
415217,0
415628,1
415760,3
415890,1
416681,0
416760,0
416905,0
417002,1
417434,0
417569,0
417759,0
417868,0
417995,1
418120,0
418273,0
418435,0
418508,0
418648,0
418804,1
418998,0
419213,0
419354,0
419394,0
420422,0
420586,0
420841,1
421256,0
421345,0
422461,0
422870,0
422942,0
423127,0
423204,0
423425,3
424036,2
425616,0
426003,0
426222,1
426363,0
426453,1
428648,0
429396,0
429514,0
429578,0
429718,1
430028,0
430139,0
431351,0
431521,0
431636,0
431717,1
432116,0
432321,0
432408,1
432985,0
433112,0
433242,0
433653,0
433798,0
433989,0
434065,0
434219,0
434400,0
434571,1
434792,0
434956,0
435125,0
435290,0
435418,0
435484,0
435675,1
435837,0
435945,0
436057,0
436318,0
436431,0
436572,0
436730,0
436821,0
436983,0
437456,3
437632,1
437992,0
438128,0
438209,0
439222,0
439926,0
440093,0
440188,1
440422,0
440603,0
440710,0
440833,0
441113,3
441398,2
443087,0
443437,0
443610,0
444143,0
444614,0
444746,0
444860,0
444970,0
445233,1
445543,0
445801,0
449723,0
450013,0
450160,0
450338,0
450922,1
451263,0
451349,0
451520,0
451600,0
451752,0
451892,0
452025,0
452440,3
452595,1
452980,0
453103,0
453251,0
453410,0
453499,0
453613,1
454294,0
454469,0
454777,0
454904,0
455088,0
455235,0
455573,1
455791,0
455921,0
456070,0
457499,0
457552,0
457719,0
457793,1
458234,0
458417,0
458753,0
458895,0
459080,0
459175,1
460066,0
460196,0
460337,0
460669,0
460803,0
460968,0
461111,0
461925,0
462157,3
462610,2
465045,0
466215,0
466373,0
466488,0
466612,0
466752,0
466901,0
467008,0
467166,0
467235,1
468138,0
468292,0
468839,0
468954,0
469039,0
469832,3
470571,1
471078,0
471178,0
471334,0
471464,0
471651,0
471931,0
472054,0
472269,0
472570,0
472668,1
473159,0
473253,0
473384,0
473602,0
473756,0
473945,0
474105,0
474235,0
474303,0
474445,0
474502,0
474623,0
474790,1
475232,0
475346,0
475745,0
475895,0
475996,0
476146,0
476326,1
476445,0
476526,0
477011,0
478636,0
478967,0
479127,0
479279,0
479906,1
480071,0
480315,0
480438,0
480567,0
481327,0
481411,0
